site,lat,long,transect,distance_along_tape,point,quarter,species,distance_from_point,height,dbh,ba,cover,salinity,soil_water_content,soil_carbon_content,soil_bulk_density
NorthStradbroke,-27.46294,153.42624,1,5,P1,4,AM,2.38,3.18,4.23,14.08,,,,,
NorthStradbroke,-27.46294,153.42624,1,40,P2,1,RS,1.85,3.8,6.68,35.09,20.96,2,0.73303,0.33084,0.29219
NorthStradbroke,-27.46294,153.42624,1,40,P2,2,RS,2.77,2.52,5.32,22.19,,,,,
NorthStradbroke,-27.46294,153.42624,1,40,P2,3,RS,1.63,2.54,4.2,13.87,,,,,
NorthStradbroke,-27.46294,153.42624,1,40,P2,4,AM,2.36,2.95,2.74,5.89,,,,,
NorthStradbroke,-27.46294,153.42624,1,96,P3,1,RS,2.93,6.03,8.34,54.63,89.6,25,0.40895,0.08118,0.79761
NorthStradbroke,-27.46294,153.42624,1,96,P3,2,BG,1.4,1.7,2.99,7.03,,,,,
NorthStradbroke,-27.46294,153.42624,1,96,P3,3,RS,1.08,7.47,9.74,74.51,,,,,
NorthStradbroke,-27.46294,153.42624,1,96,P3,4,RS,1.67,5.31,6.78,36.1,,,,,
NorthStradbroke,-27.46294,153.42624,1,116,P4,1,RS,2.65,6.72,11.27,99.72,90.64,35,0.35031,0.03044,0.96659
NorthStradbroke,-27.46294,153.42624,1,116,P4,2,RS,3.8,8.76,13.91,151.97,,,,,
NorthStradbroke,-27.46294,153.42624,1,116,P4,3,RS,2.52,7.56,9.93,77.46,,,,,
NorthStradbroke,-27.46294,153.42624,1,116,P4,4,RS,0.79,6.93,11.65,106.6,,,,,
NorthStradbroke,-27.46294,153.42624,1,160,P5,1,AM,0.69,5.54,14.96,175.79,86.48,36,0.40923,0.04184,0.68432
NorthStradbroke,-27.46294,153.42624,1,160,P5,2,AM,5.45,7.5,16.85,222.97,,,,,
NorthStradbroke,-27.46294,153.42624,1,160,P5,3,RS,5.42,7.73,15.5,188.73,,,,,
NorthStradbroke,-27.46294,153.42624,1,160,P5,4,RS,2.18,7.17,10.25,82.51,,,,,
NorthStradbroke,-27.46294,153.42624,1,190,P6,1,RS,1.25,6.5,10.15,80.98,80.24,36,0.39962,0.03462,0.86228
NorthStradbroke,-27.46294,153.42624,1,190,P6,2,AM,9.04,7.99,24.65,477.35,,,,,
NorthStradbroke,-27.46294,153.42624,1,190,P6,3,RS,5.7,3.82,6.53,33.44,,,,,
NorthStradbroke,-27.46294,153.42624,1,190,P6,4,RS,5.41,4.73,6.33,31.51,,,,,
NorthStradbroke,-27.46294,153.42624,2,25,P1,1,AM,1.42,4.1,5.47,23.54,38.64,5,0.34926,0.03292,0.82706
NorthStradbroke,-27.46294,153.42624,2,25,P1,2,BG,2.16,2.58,3.66,10.52,,,,,
NorthStradbroke,-27.46294,153.42624,2,25,P1,3,RS,3.47,2.44,5.12,20.63,,,,,
NorthStradbroke,-27.46294,153.42624,2,25,P1,4,AM,0.72,2.8,2.99,7.03,,,,,
NorthStradbroke,-27.46294,153.42624,2,50,P2,1,RS,2.12,3.17,4.36,14.94,22,4,0.77066,0.45255,0.2179
NorthStradbroke,-27.46294,153.42624,2,50,P2,2,RS,2.05,2.4,3.41,9.11,,,,,
NorthStradbroke,-27.46294,153.42624,2,50,P2,3,RS,3.97,3.3,7.34,42.28,,,,,
NorthStradbroke,-27.46294,153.42624,2,50,P2,4,RS,3.43,3.33,6.21,30.26,,,,,
NorthStradbroke,-27.46294,153.42624,2,110,P3,1,RS,1.31,7.36,8.91,62.39,94.8,30,0.36791,0.08785,0.84609
NorthStradbroke,-27.46294,153.42624,2,110,P3,2,RS,2.64,6.9,5.98,28.13,,,,,
NorthStradbroke,-27.46294,153.42624,2,110,P3,3,RS,1.45,7.5,12.41,121.04,,,,,
NorthStradbroke,-27.46294,153.42624,2,110,P3,4,AM,2.38,3.35,3.85,11.65,,,,,
NorthStradbroke,-27.46294,153.42624,2,135,P4,1,RS,3.05,6.93,12.1,114.91,95.84,29,0.46211,0.04124,0.76159
NorthStradbroke,-27.46294,153.42624,2,135,P4,2,RS,2.54,4.81,7.83,48.16,,,,,
NorthStradbroke,-27.46294,153.42624,2,135,P4,3,AM,3.23,7.29,20.63,334.15,,,,,
NorthStradbroke,-27.46294,153.42624,2,135,P4,4,RS,3.54,6.97,11.3,100.29,,,,,
NorthStradbroke,-27.46294,153.42624,2,176,P5,1,RS,3.72,3.8,4.46,15.6,89.6,36,0.3236,0.02215,1.00751
NorthStradbroke,-27.46294,153.42624,2,176,P5,2,AM,2.49,7.34,18.85,279.2,,,,,
NorthStradbroke,-27.46294,153.42624,2,176,P5,3,RS,6.25,6.67,10.82,91.99,,,,,
NorthStradbroke,-27.46294,153.42624,2,176,P5,4,RS,5.4,7.8,12.25,117.95,,,,,
NorthStradbroke,-27.46294,153.42624,2,206,P6,1,AM,3.24,8.2,21.83,374.12,95.84,36,0.78588,0.48211,0.23655
NorthStradbroke,-27.46294,153.42624,2,206,P6,2,RS,2.29,3.59,5.09,20.37,,,,,
NorthStradbroke,-27.46294,153.42624,2,206,P6,3,RS,6.45,2.25,3.57,9.98,,,,,
NorthStradbroke,-27.46294,153.42624,2,206,P6,4,AM,4.4,7,16.27,207.79,,,,,
NorthStradbroke,-27.46294,153.42624,3,5,P1,1,RS,2.22,4.75,11.17,98.04,81.28,32,0.61704,0.22797,0.43807
NorthStradbroke,-27.46294,153.42624,3,5,P1,2,AM,4.38,5.36,17.76,247.78,,,,,
NorthStradbroke,-27.46294,153.42624,3,5,P1,3,RS,3.07,6.91,21.33,357.22,,,,,
NorthStradbroke,-27.46294,153.42624,3,5,P1,4,AM,1.41,4.45,6.24,30.57,,,,,
NorthStradbroke,-27.46294,153.42624,3,40,P2,1,RS,0.89,5.05,8.58,57.87,91.68,36,0.39177,0.05871,0.84883
NorthStradbroke,-27.46294,153.42624,3,40,P2,2,AM,6.24,4.53,16.17,205.36,,,,,
NorthStradbroke,-27.46294,153.42624,3,40,P2,3,RS,2.38,5.58,8.18,52.56,,,,,
NorthStradbroke,-27.46294,153.42624,3,40,P2,4,RS,5.84,3.69,7.29,41.73,,,,,
NorthStradbroke,-27.46294,153.42624,3,96,P3,1,AM,4.25,5.9,4.27,14.29,92.72,36,0.47099,0.0916,0.66826
NorthStradbroke,-27.46294,153.42624,3,96,P3,2,AM,2.73,7.04,11.01,95.27,,,,,
NorthStradbroke,-27.46294,153.42624,3,96,P3,3,RS,4.28,6.53,10.6,88.24,,,,,
NorthStradbroke,-27.46294,153.42624,3,96,P3,4,RS,1.61,6.8,8.02,50.53,,,,,
NorthStradbroke,-27.46294,153.42624,3,116,P4,1,RS,4.81,7.8,15.44,187.19,93.76,37,0.3639,0.04937,0.81124
NorthStradbroke,-27.46294,153.42624,3,116,P4,2,RS,1.67,7.7,12.1,114.91,,,,,
NorthStradbroke,-27.46294,153.42624,3,116,P4,3,AM,1.99,7.08,12.32,119.18,,,,,
NorthStradbroke,-27.46294,153.42624,3,116,P4,4,RS,2.74,7.18,14.67,169.12,,,,,
NorthStradbroke,-27.46294,153.42624,3,160,P5,1,RS,6.44,8.5,19.07,285.52,77.12,36,0.3833,0.034,0.67022
NorthStradbroke,-27.46294,153.42624,3,160,P5,2,RS,3.26,3.08,3.18,7.96,,,,,
NorthStradbroke,-27.46294,153.42624,3,160,P5,3,AM,3.41,6.2,9.13,65.43,,,,,
NorthStradbroke,-27.46294,153.42624,3,160,P5,4,AM,3.41,2.73,2.58,5.22,,,,,
NorthStradbroke,-27.46294,153.42624,3,190,P6,1,RS,4.22,4.68,6.05,28.73,87.52,36,0.34256,0.02846,0.99019
NorthStradbroke,-27.46294,153.42624,3,190,P6,2,RS,2.94,2.45,3.06,7.33,,,,,
NorthStradbroke,-27.46294,153.42624,3,190,P6,3,RS,1.94,2.26,3.85,11.65,,,,,
NorthStradbroke,-27.46294,153.42624,3,190,P6,4,AM,0.72,7.5,17.73,246.89,,,,,
NorthStradbroke,-27.46294,153.42624,4,30,P1,1,RS,4.53,4.73,9.03,64,80.24,5,0.47773,0.0859,0.68039
NorthStradbroke,-27.46294,153.42624,4,30,P1,2,AM,2.32,3.05,5.25,21.66,,,,,
NorthStradbroke,-27.46294,153.42624,4,30,P1,3,RS,3.21,5.14,17.86,250.45,,,,,
NorthStradbroke,-27.46294,153.42624,4,30,P1,4,AM,2.58,3.5,6.72,35.43,,,,,
NorthStradbroke,-27.46294,153.42624,4,60,P2,1,RS,0.6,4.86,8.82,61.06,93.76,35,0.42687,0.06962,0.74011
NorthStradbroke,-27.46294,153.42624,4,60,P2,2,RS,1.04,4.51,8.75,60.18,,,,,
NorthStradbroke,-27.46294,153.42624,4,60,P2,3,RS,1.44,6.77,9.87,76.47,,,,,
NorthStradbroke,-27.46294,153.42624,4,60,P2,4,RS,2.13,6.37,12.83,129.24,,,,,
NorthStradbroke,-27.46294,153.42624,4,105,P3,1,RS,3.74,5.93,6.78,36.1,96.88,36,0.43392,0.0772,0.74764
NorthStradbroke,-27.46294,153.42624,4,105,P3,2,RS,0.3,8.5,13.08,134.42,,,,,
NorthStradbroke,-27.46294,153.42624,4,105,P3,3,RS,2.84,7.5,10.95,94.17,,,,,
NorthStradbroke,-27.46294,153.42624,4,105,P3,4,RS,1.58,5.33,6.59,34.1,,,,,
NorthStradbroke,-27.46294,153.42624,4,130,P4,1,AM,3.14,8.3,14.67,169.12,98.96,35,0.38741,0.04356,0.77704
NorthStradbroke,-27.46294,153.42624,4,130,P4,2,RS,3.4,8.4,13.62,145.77,,,,,
NorthStradbroke,-27.46294,153.42624,4,130,P4,3,RS,4.81,6.91,10.57,87.71,,,,,
NorthStradbroke,-27.46294,153.42624,4,130,P4,4,AM,4.28,5.67,7.13,39.93,,,,,
NorthStradbroke,-27.46294,153.42624,4,190,P5,1,RS,3.33,4.91,6.08,29.03,95.84,36,0.32775,0.03509,0.87364
NorthStradbroke,-27.46294,153.42624,4,190,P5,2,RS,6.64,6.35,9.07,64.64,,,,,
NorthStradbroke,-27.46294,153.42624,4,190,P5,3,AM,2.75,6.83,14.47,164.38,,,,,
NorthStradbroke,-27.46294,153.42624,4,190,P5,4,AM,1.52,7.46,16.64,217.46,,,,,
NorthStradbroke,-27.46294,153.42624,4,220,P6,1,RS,4.29,2,2.9,6.59,95.84,36,0.25211,0.01023,1.06962
NorthStradbroke,-27.46294,153.42624,4,220,P6,2,AM,4.51,8.8,14.01,154.24,,,,,
NorthStradbroke,-27.46294,153.42624,4,220,P6,3,RS,6.64,3.43,3.31,8.61,,,,,
NorthStradbroke,-27.46294,153.42624,4,220,P6,4,RS,4.28,2.34,6.27,30.88,,,,,
NorthStradbroke,-27.46294,153.42624,5,20,P1,1,AM,3.83,1.71,7.16,40.29,57.36,1,0.41201,0.07125,0.80343
NorthStradbroke,-27.46294,153.42624,5,20,P1,2,RS,2.01,2.6,5.25,21.66,,,,,
NorthStradbroke,-27.46294,153.42624,5,20,P1,3,RS,1.27,3.67,5.7,25.5,,,,,
NorthStradbroke,-27.46294,153.42624,5,20,P1,4,AM,0.3,4.01,9.71,74.03,,,,,
NorthStradbroke,-27.46294,153.42624,5,40,P2,1,RS,0.25,4.2,9.99,78.46,89.6,29,0.31238,0.04172,1.07488
NorthStradbroke,-27.46294,153.42624,5,40,P2,2,RS,1.26,5.57,12.19,116.73,,,,,
NorthStradbroke,-27.46294,153.42624,5,40,P2,3,RS,3.74,6.88,17.51,240.72,,,,,
NorthStradbroke,-27.46294,153.42624,5,40,P2,4,RS,1.62,4.19,6.37,31.83,,,,,
NorthStradbroke,-27.46294,153.42624,5,73,P3,1,RS,2.19,6.11,9.74,74.51,92.72,35,0.3388,0.02808,0.92158
NorthStradbroke,-27.46294,153.42624,5,73,P3,2,RS,0.24,6.17,8.37,55.04,,,,,
NorthStradbroke,-27.46294,153.42624,5,73,P3,3,RS,0.54,4.62,4.39,15.15,,,,,
NorthStradbroke,-27.46294,153.42624,5,73,P3,4,RS,0.61,6.2,5.57,24.37,,,,,
NorthStradbroke,-27.46294,153.42624,5,103,P4,1,RS,2.16,7.11,11.08,96.37,93.76,34,0.43724,0.04212,0.78261
NorthStradbroke,-27.46294,153.42624,5,103,P4,2,RS,1.11,7.5,9.26,67.39,,,,,
NorthStradbroke,-27.46294,153.42624,5,103,P4,3,RS,1.3,6.53,9.68,73.54,,,,,
NorthStradbroke,-27.46294,153.42624,5,103,P4,4,AM,1.79,5.4,5.09,20.37,,,,,
NorthStradbroke,-27.46294,153.42624,5,150,P5,1,RS,6.24,8.8,14.04,154.76,98.96,32,0.42156,0.05505,0.74813
NorthStradbroke,-27.46294,153.42624,5,150,P5,2,AM,2.53,9.5,23.11,419.43,,,,,
NorthStradbroke,-27.46294,153.42624,5,150,P5,3,AM,2.79,2.53,4.74,17.67,,,,,
NorthStradbroke,-27.46294,153.42624,5,150,P5,4,AM,2.41,5.65,7.51,44.32,,,,,
NorthStradbroke,-27.46294,153.42624,5,175,P6,1,AM,6.01,4.77,10.47,86.14,86.48,36,0.30097,0.01541,1.06231
NorthStradbroke,-27.46294,153.42624,5,175,P6,2,AM,2.43,3.6,4.58,16.5,,,,,
NorthStradbroke,-27.46294,153.42624,5,175,P6,3,AM,0.46,7.31,10.63,88.77,,,,,
NorthStradbroke,-27.46294,153.42624,5,175,P6,4,AM,2.65,8.5,15.02,177.29,,,,,
NorthStradbroke,-27.46294,153.42624,6,20,P1,1,RS,0.66,3.95,3.98,12.43,87.52,5,0.77821,0.4089,0.21619
NorthStradbroke,-27.46294,153.42624,6,20,P1,2,RS,1.6,3.56,4.2,13.87,,,,,
NorthStradbroke,-27.46294,153.42624,6,20,P1,3,RS,0.14,4.01,5.25,21.66,,,,,
NorthStradbroke,-27.46294,153.42624,6,20,P1,4,BG,0.72,1.7,3.92,12.04,,,,,
NorthStradbroke,-27.46294,153.42624,6,40,P2,1,RS,1.1,3.83,7.29,41.73,58.4,0,0.78649,0.53589,0.19099
NorthStradbroke,-27.46294,153.42624,6,40,P2,2,AM,2.53,3.39,4.49,15.82,,,,,
NorthStradbroke,-27.46294,153.42624,6,40,P2,3,AM,3.05,3.48,3.71,10.8,,,,,
NorthStradbroke,-27.46294,153.42624,6,40,P2,4,RS,0.85,4.59,6.14,29.64,,,,,
NorthStradbroke,-27.46294,153.42624,6,75,P3,1,AM,3.43,7.12,17.03,227.77,52.16,30,0.38206,0.05214,0.73009
NorthStradbroke,-27.46294,153.42624,6,75,P3,2,AM,0.89,5.59,8.5,56.73,,,,,
NorthStradbroke,-27.46294,153.42624,6,75,P3,3,AM,6.04,3.71,4.81,18.14,,,,,
NorthStradbroke,-27.46294,153.42624,6,75,P3,4,AM,0.53,6.14,13.72,147.82,,,,,
NorthStradbroke,-27.46294,153.42624,6,85,P4,1,RS,3.28,5.8,12.22,117.34,97.92,35,0.37544,0.04684,0.86753
NorthStradbroke,-27.46294,153.42624,6,85,P4,2,RS,1.88,4.92,9.01,63.73,,,,,
NorthStradbroke,-27.46294,153.42624,6,85,P4,3,RS,1.21,5.25,9.52,71.14,,,,,
NorthStradbroke,-27.46294,153.42624,6,85,P4,4,RS,1.05,5.86,10.82,91.99,,,,,
NorthStradbroke,-27.46294,153.42624,6,145,P5,1,RS,2.7,8.8,11.46,103.13,93.76,26,0.3742,0.02889,0.93664
NorthStradbroke,-27.46294,153.42624,6,145,P5,2,AM,1.84,8,16.27,207.79,,,,,
NorthStradbroke,-27.46294,153.42624,6,145,P5,3,RS,4.5,6.75,11.16,97.76,,,,,
NorthStradbroke,-27.46294,153.42624,6,145,P5,4,AM,2.18,9,19.58,300.98,,,,,
NorthStradbroke,-27.46294,153.42624,6,190,P6,1,AM,4.34,8.1,15.6,191.07,95.84,32,0.27582,0.019,1.1329
NorthStradbroke,-27.46294,153.42624,6,190,P6,2,AM,1.98,1.8,3.47,9.45,,,,,
NorthStradbroke,-27.46294,153.42624,6,190,P6,3,AM,7.29,6.21,10.41,85.09,,,,,
NorthStradbroke,-27.46294,153.42624,6,190,P6,4,RS,2.96,9.2,27.06,574.95,,,,,
NorthStradbroke,-27.46294,153.42624,7,14,P1,1,RS,0.56,5,7.56,44.89,30.32,0,0.8193,0.57161,0.17124
NorthStradbroke,-27.46294,153.42624,7,14,P1,2,BG,1.32,3.54,4.2,13.87,,,,,
NorthStradbroke,-27.46294,153.42624,7,14,P1,3,BG,1.48,3.7,4.87,18.63,,,,,
NorthStradbroke,-27.46294,153.42624,7,14,P1,4,RS,2.92,3.57,4.46,15.6,,,,,
NorthStradbroke,-27.46294,153.42624,7,37,P2,1,RS,3.71,6.5,15.37,185.65,83.36,0,0.78158,0.50886,0.21624
NorthStradbroke,-27.46294,153.42624,7,37,P2,2,BG,3.42,1.3,3.53,9.8,,,,,
NorthStradbroke,-27.46294,153.42624,7,37,P2,3,AM,0.55,4.75,8.09,51.34,,,,,
NorthStradbroke,-27.46294,153.42624,7,37,P2,4,RS,2.39,5.72,8.34,54.63,,,,,
NorthStradbroke,-27.46294,153.42624,7,77,P3,1,RS,3.2,7.75,15.31,184.11,97.92,31,0.35986,0.0462,0.88093
NorthStradbroke,-27.46294,153.42624,7,77,P3,2,RS,1.39,6.95,10.79,91.45,,,,,
NorthStradbroke,-27.46294,153.42624,7,77,P3,3,AM,3.74,5.58,5.6,24.65,,,,,
NorthStradbroke,-27.46294,153.42624,7,77,P3,4,RS,5.18,8,10.89,93.08,,,,,
NorthStradbroke,-27.46294,153.42624,7,97,P4,1,AM,6.49,8.8,23.52,434.59,95.84,35,0.41189,0.039,0.84258
NorthStradbroke,-27.46294,153.42624,7,97,P4,2,AM,8.04,8.8,20.1,317.35,,,,,
NorthStradbroke,-27.46294,153.42624,7,97,P4,3,AM,3.05,7.35,17.81,249.11,,,,,
NorthStradbroke,-27.46294,153.42624,7,97,P4,4,RS,8.93,7.31,11.3,100.29,,,,,
NorthStradbroke,-27.46294,153.42624,7,142,P5,1,AM,1.94,9.7,19.77,306.88,93.76,35,0.48192,0.07308,0.58407
NorthStradbroke,-27.46294,153.42624,7,142,P5,2,AM,4.27,3.83,5.09,20.37,,,,,
NorthStradbroke,-27.46294,153.42624,7,142,P5,3,AM,2.1,7.4,6.62,34.43,,,,,
NorthStradbroke,-27.46294,153.42624,7,142,P5,4,RS,3.09,4.75,14.07,155.47,,,,,
NorthStradbroke,-27.46294,153.42624,7,192,P6,1,AM,2.02,9.2,19.77,306.88,88.56,34,0.35625,0.03702,0.85307
NorthStradbroke,-27.46294,153.42624,7,192,P6,2,AM,2.45,4.37,3.69,10.71,,,,,
NorthStradbroke,-27.46294,153.42624,7,192,P6,3,AM,4.22,4.2,4.01,12.63,,,,,
NorthStradbroke,-27.46294,153.42624,7,192,P6,4,AM,2.02,5.85,6.05,28.73,,,,,
NorthStradbroke,-27.46294,153.42624,8,15,P1,1,RS,0.73,3,6.46,32.79,90.64,0,0.81116,0.60429,0.19244
NorthStradbroke,-27.46294,153.42624,8,15,P1,2,AM,1.87,1.5,2.61,5.35,,,,,
NorthStradbroke,-27.46294,153.42624,8,15,P1,3,AM,3.4,2.54,28.93,657.53,,,,,
NorthStradbroke,-27.46294,153.42624,8,15,P1,4,AM,2.04,5.77,31.23,765.82,,,,,
NorthStradbroke,-27.46294,153.42624,8,30,P2,1,RS,0.86,5.09,14.47,164.5,84.4,1,0.78343,0.19377,0.19392
NorthStradbroke,-27.46294,153.42624,8,30,P2,2,RS,3.89,3.81,11.59,105.44,,,,,
NorthStradbroke,-27.46294,153.42624,8,30,P2,3,AM,3.86,1.79,2.96,6.88,,,,,
NorthStradbroke,-27.46294,153.42624,8,30,P2,4,RS,2.13,3.92,7.2,40.73,,,,,
NorthStradbroke,-27.46294,153.42624,8,85,P3,1,RS,2.71,8.5,20.18,319.87,89.6,34,0.39225,0.33722,0.82907
NorthStradbroke,-27.46294,153.42624,8,85,P3,2,RS,4.08,9.2,17.86,250.45,,,,,
NorthStradbroke,-27.46294,153.42624,8,85,P3,3,AM,4.45,6.13,12.89,130.53,,,,,
NorthStradbroke,-27.46294,153.42624,8,85,P3,4,RS,3.01,9.5,16.81,221.85,,,,,
NorthStradbroke,-27.46294,153.42624,8,135,P4,1,RS,0.58,5.18,9.55,71.62,90.64,35,0.44405,0.02,0.7113
NorthStradbroke,-27.46294,153.42624,8,135,P4,2,AM,2.08,6.95,18.37,264.94,,,,,
NorthStradbroke,-27.46294,153.42624,8,135,P4,3,RS,1.79,8,11.05,95.82,,,,,
NorthStradbroke,-27.46294,153.42624,8,135,P4,4,RS,2.14,7.45,11.36,101.42,,,,,
NorthStradbroke,-27.46294,153.42624,8,178,P5,1,RS,4.91,8.8,16.11,203.75,94.8,33,0.42392,0.05178,0.66141
NorthStradbroke,-27.46294,153.42624,8,178,P5,2,RS,6.52,8,16.17,205.36,,,,,
NorthStradbroke,-27.46294,153.42624,8,178,P5,3,AM,1.66,7.5,9.58,72.1,,,,,
NorthStradbroke,-27.46294,153.42624,8,178,P5,4,AM,5.73,4.97,4.23,14.08,,,,,
NorthStradbroke,-27.46294,153.42624,8,198,P6,1,RS,3.49,6.05,8.24,53.38,85.44,29,0.32847,0.01368,0.90182
NorthStradbroke,-27.46294,153.42624,8,198,P6,2,AM,2.23,8.8,10.33,83.83,,,,,
NorthStradbroke,-27.46294,153.42624,8,198,P6,3,AM,3.63,3.73,2.86,6.45,,,,,
NorthStradbroke,-27.46294,153.42624,8,198,P6,4,RS,3.76,1.97,2.55,5.09,,,,,
NorthStradbroke,-27.46294,153.42624,9,22,P1,1,RS,1.1,2.22,5.79,26.36,90.64,0,0.79253,0.51414,0.19825
NorthStradbroke,-27.46294,153.42624,9,22,P1,2,BG,0.89,2.16,4.04,12.84,,,,,
NorthStradbroke,-27.46294,153.42624,9,22,P1,3,RS,1.44,2.25,4.49,15.82,,,,,
NorthStradbroke,-27.46294,153.42624,9,22,P1,4,BG,3.07,2.25,4.07,13.04,,,,,
NorthStradbroke,-27.46294,153.42624,9,72,P2,1,RS,3.64,4.3,5.89,27.24,87.52,0,0.78618,0.45476,0.18942
NorthStradbroke,-27.46294,153.42624,9,72,P2,2,RS,1.49,4.72,6.18,29.95,,,,,
NorthStradbroke,-27.46294,153.42624,9,72,P2,3,RS,1.52,3.58,4.17,13.66,,,,,
NorthStradbroke,-27.46294,153.42624,9,72,P2,4,RS,2.12,5.15,7.7,46.6,,,,,
NorthStradbroke,-27.46294,153.42624,9,118,P3,1,RS,2.62,6.41,11.01,95.27,96.88,33,0.43837,0.06356,0.67482
NorthStradbroke,-27.46294,153.42624,9,118,P3,2,RS,2.61,6.96,14.39,162.58,,,,,
NorthStradbroke,-27.46294,153.42624,9,118,P3,3,RS,3.1,7.5,10.57,87.71,,,,,
NorthStradbroke,-27.46294,153.42624,9,118,P3,4,AM,1.77,6.62,11.36,101.42,,,,,
NorthStradbroke,-27.46294,153.42624,9,138,P4,1,RS,1.51,6.1,7.38,42.83,100,34,0.34592,0.51357,0.88275
NorthStradbroke,-27.46294,153.42624,9,138,P4,2,RS,0.71,8.5,17.63,244.24,,,,,
NorthStradbroke,-27.46294,153.42624,9,138,P4,3,RS,1.29,7.6,7.1,39.57,,,,,
NorthStradbroke,-27.46294,153.42624,9,138,P4,4,RS,0.63,7.8,11.4,101.99,,,,,
NorthStradbroke,-27.46294,153.42624,9,192,P5,1,AM,5.57,11.2,25.93,527.93,89.6,35,0.64593,0,0.5388
NorthStradbroke,-27.46294,153.42624,9,192,P5,2,AM,4.18,7.13,9.9,76.97,,,,,
NorthStradbroke,-27.46294,153.42624,9,192,P5,3,AM,3.75,10.2,19.34,293.69,,,,,
NorthStradbroke,-27.46294,153.42624,9,192,P5,4,RS,3.8,1.94,3.31,8.61,,,,,
NorthStradbroke,-27.46294,153.42624,9,222,P6,1,AM,14.66,2.19,3.02,7.18,30.32,33,0.28714,0.01668,1.14417
NorthStradbroke,-27.46294,153.42624,9,222,P6,2,AM,10.07,8,39.66,1235.45,,,,,
NorthStradbroke,-27.46294,153.42624,9,222,P6,3,RS,13.47,5.2,6.53,33.44,,,,,
NorthStradbroke,-27.46294,153.42624,9,222,P6,4,AM,19.25,7.65,19.96,313.01,,,,,
NorthStradbroke,-27.46294,153.42624,10,40,P1,1,AM,2.47,3.43,12.41,121.04,100,0,0.80599,0,0.18147
NorthStradbroke,-27.46294,153.42624,10,40,P1,2,BG,0.81,3.2,4.52,16.05,,,,,
NorthStradbroke,-27.46294,153.42624,10,40,P1,3,BG,0.79,2.26,3.66,10.52,,,,,
NorthStradbroke,-27.46294,153.42624,10,40,P1,4,RS,2.37,1.72,4.27,14.29,,,,,
NorthStradbroke,-27.46294,153.42624,10,80,P2,1,RS,1.98,2.53,5.09,20.37,86.48,5,0.8342,0,0.15391
NorthStradbroke,-27.46294,153.42624,10,80,P2,2,RS,2.63,4.54,6.59,34.1,,,,,
NorthStradbroke,-27.46294,153.42624,10,80,P2,3,AM,1.34,4.9,11.2,98.6,,,,,
NorthStradbroke,-27.46294,153.42624,10,80,P2,4,RS,1.61,4.54,9.92,77.3,,,,,
NorthStradbroke,-27.46294,153.42624,10,134,P3,1,RS,3.29,7.75,22.57,400.02,100,33,0.48863,0.08506,0.62613
NorthStradbroke,-27.46294,153.42624,10,134,P3,2,RS,2.28,4.47,7.83,48.16,,,,,
NorthStradbroke,-27.46294,153.42624,10,134,P3,3,RS,4.05,5.61,17.92,252.24,,,,,
NorthStradbroke,-27.46294,153.42624,10,134,P3,4,RS,5.9,1.98,2.99,7.03,,,,,
NorthStradbroke,-27.46294,153.42624,10,164,P4,1,RS,0.89,7.06,7.48,43.95,95.84,34,0.489,0.08022,0.51452
NorthStradbroke,-27.46294,153.42624,10,164,P4,2,AM,4.17,6.64,4.97,19.37,,,,,
NorthStradbroke,-27.46294,153.42624,10,164,P4,3,RS,3.07,6.56,10.57,87.71,,,,,
NorthStradbroke,-27.46294,153.42624,10,164,P4,4,RS,2.25,7.5,7.45,43.57,,,,,
NorthStradbroke,-27.46294,153.42624,10,205,P5,1,AM,3.03,5.73,11.52,104.28,87.52,35,0.40984,0.16685,0.8075
NorthStradbroke,-27.46294,153.42624,10,205,P5,2,AM,4.96,9.1,19,283.62,,,,,
NorthStradbroke,-27.46294,153.42624,10,205,P5,3,AM,4.68,10.2,12.16,116.12,,,,,
NorthStradbroke,-27.46294,153.42624,10,205,P5,4,AM,4,9.2,21.04,347.69,,,,,
NorthStradbroke,-27.46294,153.42624,10,230,P6,1,AM,4.41,9.2,25.07,493.82,87.52,35,0.35144,0,0.87788
NorthStradbroke,-27.46294,153.42624,10,230,P6,2,AM,4.98,6.1,6.62,34.43,,,,,
NorthStradbroke,-27.46294,153.42624,10,230,P6,3,AM,3.96,6.92,9.45,70.19,,,,,
NorthStradbroke,-27.46294,153.42624,10,230,P6,4,AM,2.51,12.2,30.03,708.39,,,,,
Moreton,-27.31277,153.41026,1,15,P1,1,AM,1.36,5.21,6.46,32.79,83.36,3,0.48297,0.07683,0.76862
Moreton,-27.31277,153.41026,1,15,P1,2,AM,1.28,6.64,12.08,114.67,,,,,
Moreton,-27.31277,153.41026,1,15,P1,3,AM,3.37,4.32,4.42,15.38,,,,,
Moreton,-27.31277,153.41026,1,15,P1,4,RS,2.13,2.33,4.33,14.72,,,,,
Moreton,-27.31277,153.41026,1,30,P2,1,AM,0.32,6.13,5.25,21.66,88.56,35,0.55901,0.11305,0.48936
Moreton,-27.31277,153.41026,1,30,P2,2,AM,1.76,5.98,8.26,53.59,,,,,
Moreton,-27.31277,153.41026,1,30,P2,3,AM,1.44,6.08,12.54,123.53,,,,,
Moreton,-27.31277,153.41026,1,30,P2,4,AM,0.87,6.12,7.19,40.64,,,,,
